exp_id,algorithm,agent_seed,episode,train_reward,train_steps,train_success,epsilon,alpha,elapsed_time_s
cal_F_trans1000,Model Based,42,1,0.3333333333333333,,,,,
cal_F_trans1000,Model Based,42,2,0.15355999999999997,,,,,
cal_F_trans1000,Model Based,42,3,0.12523499999999999,,,,,
cal_F_trans1000,Model Based,42,4,0.096292111575,,,,,
cal_F_trans1000,Model Based,42,5,0.30103615590737015,,,,,
cal_F_trans1000,Model Based,123,1,0.0,,,,,
cal_F_trans1000,Model Based,7,1,0.3333333333333333,,,,,
cal_F_trans1000,Model Based,7,2,0.32999999999999996,,,,,
cal_F_trans1000,Model Based,7,3,0.21779999999999994,,,,,
cal_F_trans1000,Model Based,7,4,0.18077399999999993,,,,,
cal_F_trans1000,Model Based,7,5,0.09211425891585362,,,,,
cal_F_trans1000,Model Based,256,1,0.0,,,,,
cal_F_trans1000,Model Based,999,1,1.0,,,,,
cal_F_trans1000,Model Based,999,2,0.99,,,,,
cal_F_trans1000,Model Based,999,3,0.6534,,,,,
cal_F_trans1000,Model Based,999,4,0.27722828571428565,,,,,
cal_F_trans1000,Model Based,999,5,0.19662473920178564,,,,,
