exp_id,algorithm,map_name,success_rate,reward_schedule,agent_seed,env_seed,map_seed,hyperparams_json,total_train_time_s,n_train_episodes,n_train_iterations,eval_success_rate,eval_mean_reward,eval_mean_steps,eval_termination_goal_pct,eval_termination_hole_pct,eval_truncation_pct,eval_policy_agreement_vi,n_state_action_visited_pct,final_q_diff_l_inf
exp_stochasticity_4x4_sr0p2,Value Iteration,4x4,0.2,"(1, 0, 0)",42,42,,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 100, ""theta_convergence"": 1e-06}",0.028595924377441406,2000,207,72.39999999999999,0.728,43.74,72.39999999999999,16.400000000000002,11.200000000000001,100.0,,
exp_stochasticity_4x4_sr0p2,Value Iteration,4x4,0.2,"(1, 0, 0)",123,123,,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 100, ""theta_convergence"": 1e-06}",0.02063465118408203,2000,207,71.89999999999999,0.725,42.974,71.89999999999999,17.2,10.9,100.0,,
exp_stochasticity_4x4_sr0p2,Value Iteration,4x4,0.2,"(1, 0, 0)",7,7,,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 100, ""theta_convergence"": 1e-06}",0.026090621948242188,2000,207,70.39999999999999,0.712,42.509,70.39999999999999,19.7,9.9,100.0,,
exp_stochasticity_4x4_sr0p2,Value Iteration,4x4,0.2,"(1, 0, 0)",256,256,,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 100, ""theta_convergence"": 1e-06}",0.024122238159179688,2000,207,74.1,0.741,43.756,74.1,15.4,10.5,100.0,,
exp_stochasticity_4x4_sr0p2,Value Iteration,4x4,0.2,"(1, 0, 0)",999,999,,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 100, ""theta_convergence"": 1e-06}",0.023278236389160156,2000,207,71.3,0.716,41.597,71.3,18.8,9.9,100.0,,
exp_stochasticity_4x4_sr0p2,REINFORCE,4x4,0.2,"(1, 0, 0)",42,42,,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 100, ""theta_convergence"": 1e-06}",0.6277241706848145,2000,,5.4,0.054,8.594,5.4,94.6,0.0,56.25,,
exp_stochasticity_4x4_sr0p2,REINFORCE,4x4,0.2,"(1, 0, 0)",123,123,,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 100, ""theta_convergence"": 1e-06}",0.6086485385894775,2000,,14.499999999999998,0.145,12.28,14.499999999999998,85.5,0.0,68.75,,
exp_stochasticity_4x4_sr0p2,REINFORCE,4x4,0.2,"(1, 0, 0)",7,7,,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 100, ""theta_convergence"": 1e-06}",0.8381249904632568,2000,,9.3,0.093,7.851,9.3,90.7,0.0,50.0,,
exp_stochasticity_4x4_sr0p2,REINFORCE,4x4,0.2,"(1, 0, 0)",256,256,,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 100, ""theta_convergence"": 1e-06}",0.6745181083679199,2000,,19.900000000000002,0.199,23.002,19.900000000000002,79.80000000000001,0.3,62.5,,
exp_stochasticity_4x4_sr0p2,REINFORCE,4x4,0.2,"(1, 0, 0)",999,999,,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 100, ""theta_convergence"": 1e-06}",0.6813006401062012,2000,,14.499999999999998,0.145,15.84,14.499999999999998,85.5,0.0,43.75,,
exp_stochasticity_4x4_sr0p2,Q-Learning,4x4,0.2,"(1, 0, 0)",42,42,,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 100, ""theta_convergence"": 1e-06}",0.46034812927246094,2000,,71.39999999999999,0.715,35.483,71.39999999999999,25.6,3.0,87.5,68.75,0.30943074101812074
exp_stochasticity_4x4_sr0p2,Q-Learning,4x4,0.2,"(1, 0, 0)",123,123,,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 100, ""theta_convergence"": 1e-06}",0.5118579864501953,2000,,66.2,0.663,45.832,66.2,20.1,13.700000000000001,87.5,68.75,0.14402884291501217
exp_stochasticity_4x4_sr0p2,Q-Learning,4x4,0.2,"(1, 0, 0)",7,7,,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 100, ""theta_convergence"": 1e-06}",0.4380197525024414,2000,,71.0,0.713,42.743,71.0,18.5,10.5,93.75,68.75,0.2132966722659179
exp_stochasticity_4x4_sr0p2,Q-Learning,4x4,0.2,"(1, 0, 0)",256,256,,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 100, ""theta_convergence"": 1e-06}",0.42796826362609863,2000,,70.5,0.708,42.578,70.5,19.400000000000002,10.100000000000001,93.75,68.75,0.13136326541396937
exp_stochasticity_4x4_sr0p2,Q-Learning,4x4,0.2,"(1, 0, 0)",999,999,,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 100, ""theta_convergence"": 1e-06}",0.3809840679168701,2000,,69.19999999999999,0.692,36.79,69.19999999999999,26.5,4.3,81.25,68.75,0.41836158712013105
exp_stochasticity_4x4_sr0p2,Model Based,4x4,0.2,"(1, 0, 0)",42,42,,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 100, ""theta_convergence"": 1e-06}",0.06959223747253418,2000,40,55.2,0.556,48.455,55.2,28.4,16.400000000000002,93.75,100.0,
exp_stochasticity_4x4_sr0p2,Model Based,4x4,0.2,"(1, 0, 0)",123,123,,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 100, ""theta_convergence"": 1e-06}",0.05183887481689453,2000,40,56.10000000000001,0.561,28.762,56.10000000000001,42.8,1.0999999999999999,81.25,100.0,
exp_stochasticity_4x4_sr0p2,Model Based,4x4,0.2,"(1, 0, 0)",7,7,,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 100, ""theta_convergence"": 1e-06}",0.057826995849609375,2000,40,43.0,0.43,32.387,43.0,54.7,2.3,81.25,100.0,
exp_stochasticity_4x4_sr0p2,Model Based,4x4,0.2,"(1, 0, 0)",256,256,,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 100, ""theta_convergence"": 1e-06}",0.05003023147583008,2000,40,70.7,0.708,35.945,70.7,26.3,3.0,87.5,100.0,
exp_stochasticity_4x4_sr0p2,Model Based,4x4,0.2,"(1, 0, 0)",999,999,,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 100, ""theta_convergence"": 1e-06}",0.05577445030212402,2000,40,49.9,0.499,27.521,49.9,49.0,1.0999999999999999,81.25,100.0,
