exp_id,algorithm,map_name,success_rate,reward_schedule,agent_seed,env_seed,map_seed,hyperparams_json,total_train_time_s,n_train_episodes,n_train_iterations,eval_success_rate,eval_mean_reward,eval_mean_steps,eval_termination_goal_pct,eval_termination_hole_pct,eval_truncation_pct,eval_policy_agreement_vi,n_state_action_visited_pct,final_q_diff_l_inf
cal_D2_alpha0p3,Q-Learning,4x4,0.3333333333333333,"(1, 0, 0)",42,42,,"{""epsilon"": 0.8, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.3, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 100, ""theta_convergence"": 1e-06}",0.518052339553833,2000,,22.400000000000002,0.224,15.214,22.400000000000002,77.3,0.3,93.75,68.75,0.2898646510421472
cal_D2_alpha0p3,Q-Learning,4x4,0.3333333333333333,"(1, 0, 0)",123,123,,"{""epsilon"": 0.8, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.3, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 100, ""theta_convergence"": 1e-06}",0.5186872482299805,2000,,74.9,0.752,45.334,74.9,14.499999999999998,10.6,93.75,68.75,0.23627144578884174
cal_D2_alpha0p3,Q-Learning,4x4,0.3333333333333333,"(1, 0, 0)",7,7,,"{""epsilon"": 0.8, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.3, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 100, ""theta_convergence"": 1e-06}",0.5086188316345215,2000,,58.5,0.586,50.67,58.5,25.1,16.400000000000002,93.75,68.75,0.3266880287223022
cal_D2_alpha0p3,Q-Learning,4x4,0.3333333333333333,"(1, 0, 0)",256,256,,"{""epsilon"": 0.8, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.3, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 100, ""theta_convergence"": 1e-06}",0.6578443050384521,2000,,73.6,0.738,42.17,73.6,20.0,6.4,93.75,68.75,0.2900094214429537
cal_D2_alpha0p3,Q-Learning,4x4,0.3333333333333333,"(1, 0, 0)",999,999,,"{""epsilon"": 0.8, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.3, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 100, ""theta_convergence"": 1e-06}",0.5395498275756836,2000,,48.3,0.485,33.705,48.3,49.8,1.9,81.25,68.75,0.2781646027950406
